nombre_sector_code,nro_crianza,nro_pabellon,mes_carga,edad_madres_dias,peso_inicial_gramos,sexo,edad_promedio_faena_dias,edad_proyeccion_dias,kilos_recibidos_percapita,ganancia_promedio_gramos,tipoConstruccion,densidad_pollos_m2
los loros,174,8,1,338.8233333333334,47.21666666666667,MACHO,42.0,32,3.7789385040907737,71.94827979038504,Tradicional,12.5
los loros,174,10,1,262.9433333333333,45.46333333333333,MACHO,42.0,32,3.7789385040907737,71.55423280423281,Tradicional,12.5
los loros,174,11,1,401.6313,48.75429433333333,MACHO,43.0,32,3.7789385040907737,73.94232236815681,Tradicional,12.5
los loros,174,14,1,390.8566666666667,48.86333333333334,MACHO,44.0,32,3.7789385040907737,72.2889301762876,Tradicional,12.5
los loros,174,15,1,339.12666666666667,46.64333333333333,MACHO,44.0,32,3.7789385040907737,75.63676194939082,Tradicional,12.5
los loros,175,1,5,348.6314102564103,49.0,MACHO,44.0,32,3.6022417484702056,72.7359086696436,Tradicional,13.0
los loros,175,2,5,355.6089743589744,48.58012820512821,MACHO,43.0,32,3.6022417484702056,73.1129194118417,Tradicional,13.0
los loros,175,3,5,208.2051282051282,39.87179487179487,MACHO,43.0,32,3.6022417484702056,67.72838237183605,Tradicional,13.0
los loros,175,4,5,235.3974358974359,42.44551282051282,MACHO,43.0,32,3.6022417484702056,68.48430339629105,Tradicional,13.0
los loros,175,5,5,276.7692307692308,44.93589743589744,MACHO,43.0,32,3.6022417484702056,70.10532138981681,Tradicional,13.0
los loros,175,6,5,224.71794871794876,39.05128205128205,MACHO,43.0,32,3.6022417484702056,68.98236742878315,Tradicional,13.0
los loros,175,7,5,241.83653846153845,40.73076923076923,MACHO,43.0,32,3.6022417484702056,68.68217054263565,Tradicional,13.0
los loros,175,8,5,270.95833333333337,45.2948717948718,MACHO,43.0,32,3.6022417484702056,70.18716520018071,Tradicional,13.0
los loros,175,10,5,310.7371794871795,47.19711538461539,MACHO,43.0,32,3.6022417484702056,69.24338815719483,Tradicional,13.0
los loros,175,11,5,329.6829487179487,46.86166891025641,MACHO,43.0,32,3.6022417484702056,70.68444116626172,Tradicional,13.0
los loros,175,12,5,404.25,48.99358974358975,MACHO,44.0,32,3.6022417484702056,69.98107812631403,Tradicional,13.0
los loros,175,13,5,269.05128205128204,43.83173076923077,MACHO,43.70220588235294,32,3.6022417484702056,66.45474047278539,Tradicional,13.0
los loros,175,14,5,276.16346153846155,44.157051282051285,MACHO,44.0,32,3.6022417484702056,67.89962663888166,Tradicional,13.0
los loros,175,15,5,393.18910256410254,50.36217948717949,MACHO,44.0,32,3.6022417484702056,70.04421487603305,Tradicional,13.0
los loros,176,1,7,367.8589743589744,48.93910256410256,MACHO,44.0,32,3.6455383925317486,78.27922077922078,Tradicional,13.0
los loros,176,2,7,275.15384615384613,44.375,MACHO,44.0,32,3.6455383925317486,76.28639993546825,Tradicional,13.0
los loros,176,4,7,430.36538461538464,50.19230769230769,MACHO,44.0,32,3.6455383925317486,78.61095426312818,Tradicional,13.0
los loros,176,5,7,264.6314102564103,44.63301282051282,MACHO,45.0,32,3.6455383925317486,72.53089197043802,Tradicional,13.0
los loros,176,6,7,228.3525641025641,39.61858974358975,MACHO,43.0,32,3.6455383925317486,71.196949168215,Tradicional,13.0
los loros,176,7,7,252.38141025641028,40.907051282051285,MACHO,43.0,32,3.6455383925317486,72.24244163332797,Tradicional,13.0
los loros,176,8,7,274.88461538461536,43.46153846153846,MACHO,42.0,32,3.6455383925317486,69.875907080596,Tradicional,13.0
los loros,176,10,7,371.650641025641,48.26121794871795,MACHO,43.0,32,3.6455383925317486,71.96129597929104,Tradicional,13.0
los loros,176,11,7,257.28365384615387,42.98440224358975,MACHO,43.0,32,3.6455383925317486,70.12481401130081,Tradicional,13.0
los loros,176,12,7,396.0160256410256,49.30929487179487,MACHO,42.0,32,3.6455383925317486,72.84234234234235,Tradicional,13.0
los loros,176,13,7,374.1634615384616,49.21474358974359,MACHO,44.0,32,3.6455383925317486,73.78616382099732,Tradicional,13.0
los loros,176,14,7,398.125,50.01923076923077,MACHO,44.0,32,3.6455383925317486,70.97716988893458,Tradicional,13.0
los pavos,109,1,9,318.3297297297297,48.12972972972973,MACHO,43.0,32,3.047173732335827,68.64034613304489,Tradicional,14.967637540453074
los pavos,109,2,9,347.2756756756757,48.18648648648649,MACHO,43.0,32,3.047173732335827,65.96481151537884,Tradicional,14.967637540453074
los pavos,109,3,9,378.0,48.5,MACHO,43.0,32,3.047173732335827,66.2316629142922,Tradicional,14.967637540453074
los pavos,109,4,9,368.0017297297297,48.339621621621625,MACHO,44.0,32,3.047173732335827,66.7611901207407,Tradicional,14.967637540453074
los pavos,109,5,9,280.0,47.5,MACHO,44.0,32,3.047173732335827,64.73731320049814,Tradicional,14.967637540453074
