sexo,densidad_pollos_m2,tipoConstruccion,ganancia_promedio_gramos,sexo_encoded,tipo_encoded,cluster_kmeans,cluster_hierarchical,cluster_dbscan
HEMBRA,15.0,Tradicional,54.81119261070362,0,1,1,0,2
HEMBRA,15.0,Tradicional,54.00780640124901,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.84444444444444,0,1,1,0,2
HEMBRA,15.0,Tradicional,59.51923076923077,0,1,1,0,2
HEMBRA,15.0,Tradicional,56.13650793650793,0,1,1,0,2
HEMBRA,15.0,Tradicional,59.09467120181406,0,1,1,0,2
HEMBRA,15.0,Tradicional,54.42132913054898,0,1,1,0,2
HEMBRA,15.0,Tradicional,60.2538860103627,0,1,1,0,2
HEMBRA,15.0,Tradicional,56.85237350026082,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.19409965405389,0,1,1,0,2
HEMBRA,15.0,Tradicional,55.87815351583468,0,1,1,0,2
HEMBRA,15.0,Tradicional,56.8910411622276,0,1,1,0,2
HEMBRA,18.0,Black Out,67.21708339355399,0,0,4,1,3
HEMBRA,18.0,Black Out,63.36574373786167,0,0,4,1,3
HEMBRA,18.0,Black Out,62.09018180393002,0,0,4,1,3
HEMBRA,18.0,Black Out,62.20967681533909,0,0,4,1,3
HEMBRA,18.0,Black Out,62.6790649571005,0,0,4,1,3
HEMBRA,18.0,Black Out,63.19604686372101,0,0,4,1,3
HEMBRA,18.0,Black Out,62.488038277511954,0,0,4,1,3
HEMBRA,18.0,Black Out,60.89666746583553,0,0,4,1,3
HEMBRA,18.0,Black Out,63.18702016215828,0,0,4,1,3
HEMBRA,16.0,Black Out,68.77628154818457,0,0,4,1,3
HEMBRA,16.0,Black Out,65.07387003881307,0,0,4,1,3
HEMBRA,18.0,Black Out,61.42849614013437,0,0,4,1,3
HEMBRA,18.0,Black Out,64.07022996799319,0,0,4,1,3
HEMBRA,18.0,Black Out,61.639507263989394,0,0,4,1,3
HEMBRA,18.0,Black Out,59.5628202993469,0,0,4,1,3
HEMBRA,16.0,Black Out,68.76593816301728,0,0,4,1,3
HEMBRA,18.0,Black Out,63.1187014385722,0,0,4,1,3
HEMBRA,18.0,Black Out,62.34032486430516,0,0,4,1,3
HEMBRA,18.0,Black Out,61.61888326003452,0,0,4,1,3
HEMBRA,18.0,Black Out,60.20498583353933,0,0,4,1,3
HEMBRA,16.0,Black Out,66.40363217802789,0,0,4,1,3
HEMBRA,18.0,Black Out,64.96293610506808,0,0,4,1,3
HEMBRA,18.0,Black Out,63.58524836136776,0,0,4,1,3
HEMBRA,18.0,Black Out,60.16865043032413,0,0,4,1,3
HEMBRA,18.0,Black Out,60.94284214006495,0,0,4,1,3
HEMBRA,18.0,Black Out,58.60535203949078,0,0,4,1,3
HEMBRA,18.0,Black Out,61.34244208085267,0,0,4,1,3
HEMBRA,18.0,Black Out,67.92013191855463,0,0,4,1,3
MACHO,16.0,Black Out,73.91187870497036,1,0,2,3,4
MACHO,16.0,Black Out,70.23704979500916,1,0,2,3,4
MACHO,16.0,Black Out,69.68972721769863,1,0,2,3,4
MACHO,16.0,Black Out,73.93157363766062,1,0,2,3,4
MACHO,16.0,Black Out,70.72622192283336,1,0,2,3,4
HEMBRA,18.0,Black Out,65.20154695379583,0,0,4,1,3
HEMBRA,18.0,Black Out,62.6652244456463,0,0,4,1,3
HEMBRA,18.0,Black Out,61.84397034566514,0,0,4,1,3
HEMBRA,18.0,Black Out,62.550730922823945,0,0,4,1,3
HEMBRA,18.0,Black Out,63.88650444464398,0,0,4,1,3
HEMBRA,18.0,Black Out,65.0539898980885,0,0,4,1,3
HEMBRA,18.0,Black Out,65.43514372381915,0,0,4,1,3
HEMBRA,18.0,Black Out,65.78747320447464,0,0,4,1,3
HEMBRA,18.0,Black Out,64.18008504112645,0,0,4,1,3
HEMBRA,18.0,Black Out,63.56067349058003,0,0,4,1,3
HEMBRA,18.0,Black Out,63.7386893821575,0,0,4,1,3
HEMBRA,18.0,Black Out,63.49430974764968,0,0,4,1,3
HEMBRA,18.0,Black Out,65.34847298355521,0,0,4,1,3
HEMBRA,18.0,Black Out,64.15345712911683,0,0,4,1,3
HEMBRA,18.0,Black Out,65.27157139023082,0,0,4,1,3
HEMBRA,18.0,Black Out,63.38272438060349,0,0,4,1,3
HEMBRA,18.0,Black Out,62.431861837437495,0,0,4,1,3
HEMBRA,18.0,Black Out,60.85741363278735,0,0,4,1,3
HEMBRA,18.0,Black Out,62.638477801268486,0,0,4,1,3
HEMBRA,18.0,Black Out,60.9079374286284,0,0,4,1,3
HEMBRA,18.0,Black Out,61.57635465333684,0,0,4,1,3
HEMBRA,18.0,Black Out,61.88402615144418,0,0,4,1,3
HEMBRA,18.0,Black Out,57.65710335292085,0,0,4,1,3
HEMBRA,18.0,Black Out,62.96267143278391,0,0,4,1,3
HEMBRA,18.0,Black Out,60.53058847708434,0,0,4,1,3
HEMBRA,18.0,Black Out,59.14081724604028,0,0,4,1,3
HEMBRA,18.0,Black Out,62.61777103355252,0,0,4,1,3
HEMBRA,18.0,Black Out,59.71896297337173,0,0,4,1,3
HEMBRA,18.0,Black Out,59.02896469599328,0,0,4,1,3
HEMBRA,18.0,Black Out,60.63253701389011,0,0,4,1,3
HEMBRA,18.0,Black Out,61.05251783012752,0,0,4,1,3
HEMBRA,18.0,Black Out,60.84573798415167,0,0,4,1,3
HEMBRA,18.0,Black Out,64.70221802255344,0,0,4,1,3
HEMBRA,18.0,Black Out,60.82755976123685,0,0,4,1,3
HEMBRA,18.0,Black Out,59.570416994492525,0,0,4,1,3
HEMBRA,18.0,Black Out,60.83163131709871,0,0,4,1,3
HEMBRA,18.0,Black Out,59.01398761751892,0,0,4,1,3
HEMBRA,18.0,Black Out,62.44933257030304,0,0,4,1,3
HEMBRA,18.0,Black Out,60.62120418607642,0,0,4,1,3
HEMBRA,18.0,Black Out,62.554952650860585,0,0,4,1,3
