nombre_sector_code,nro_crianza,nro_pabellon,sexo,tipoConstruccion,densidad_pollos_m2,cluster_kmeans,cluster_hierarchical,cluster_dbscan,ganancia_promedio_gramos
bosque nuevo,230,26,HEMBRA,Tradicional,15.0,1,0,0,58.90793574682329
bosque nuevo,230,27,HEMBRA,Tradicional,15.0,1,0,0,60.448707067277766
bosque nuevo,230,29,HEMBRA,Tradicional,15.0,1,0,0,62.14495371415669
bosque nuevo,230,30,HEMBRA,Tradicional,15.0,1,0,0,64.31773606052116
bosque nuevo,231,16,HEMBRA,Tradicional,15.0,1,0,0,58.53809523809524
bosque nuevo,231,17,HEMBRA,Tradicional,15.0,1,0,0,56.7263522515321
bosque nuevo,231,18,HEMBRA,Tradicional,15.0,1,0,0,54.81119261070362
bosque nuevo,231,19,HEMBRA,Tradicional,15.0,1,0,0,54.00780640124901
bosque nuevo,231,20,HEMBRA,Tradicional,15.0,1,0,0,58.84444444444444
bosque nuevo,231,21,HEMBRA,Tradicional,15.0,1,0,0,59.51923076923077
bosque nuevo,231,22,HEMBRA,Tradicional,15.0,1,0,0,56.13650793650793
bosque nuevo,231,23,HEMBRA,Tradicional,15.0,1,0,0,59.09467120181406
bosque nuevo,231,24,HEMBRA,Tradicional,15.0,1,0,0,54.42132913054898
bosque nuevo,231,25,HEMBRA,Tradicional,15.0,1,0,0,60.2538860103627
bosque nuevo,231,26,HEMBRA,Tradicional,15.0,1,0,0,56.85237350026082
bosque nuevo,231,27,HEMBRA,Tradicional,15.0,1,0,0,58.19409965405389
bosque nuevo,231,29,HEMBRA,Tradicional,15.0,1,0,0,55.87815351583468
bosque nuevo,231,30,HEMBRA,Tradicional,15.0,1,0,0,56.8910411622276
bosque viejo,220,1,HEMBRA,Black Out,18.0,1,0,0,67.21708339355399
bosque viejo,220,3,HEMBRA,Black Out,18.0,1,0,0,63.36574373786167
bosque viejo,220,4,HEMBRA,Black Out,18.0,1,0,0,62.09018180393002
bosque viejo,220,5,HEMBRA,Black Out,18.0,1,0,0,62.20967681533909
bosque viejo,220,6,HEMBRA,Black Out,18.0,1,0,0,62.6790649571005
bosque viejo,220,8,HEMBRA,Black Out,18.0,1,0,0,63.19604686372101
bosque viejo,220,9,HEMBRA,Black Out,18.0,1,0,0,62.488038277511954
bosque viejo,220,11,HEMBRA,Black Out,18.0,1,0,0,60.89666746583553
bosque viejo,220,12,HEMBRA,Black Out,18.0,1,0,0,63.18702016215828
bosque viejo,220,13,HEMBRA,Black Out,16.0,1,0,0,68.77628154818457
bosque viejo,220,14,HEMBRA,Black Out,16.0,1,0,0,65.07387003881307
bosque viejo,220,15,HEMBRA,Black Out,18.0,1,0,0,61.42849614013437
bosque viejo,220,16,HEMBRA,Black Out,18.0,1,0,0,64.07022996799319
bosque viejo,220,17,HEMBRA,Black Out,18.0,1,0,0,61.639507263989394
bosque viejo,220,18,HEMBRA,Black Out,18.0,1,0,0,59.5628202993469
bosque viejo,220,19,HEMBRA,Black Out,16.0,1,0,0,68.76593816301728
bosque viejo,220,20,HEMBRA,Black Out,18.0,1,0,0,63.1187014385722
bosque viejo,220,21,HEMBRA,Black Out,18.0,1,0,0,62.34032486430516
bosque viejo,220,22,HEMBRA,Black Out,18.0,1,0,0,61.61888326003452
bosque viejo,220,23,HEMBRA,Black Out,18.0,1,0,0,60.20498583353933
bosque viejo,220,24,HEMBRA,Black Out,16.0,1,0,0,66.40363217802789
bosque viejo,220,25,HEMBRA,Black Out,18.0,1,0,0,64.96293610506808
bosque viejo,220,26,HEMBRA,Black Out,18.0,1,0,0,63.58524836136776
bosque viejo,220,27,HEMBRA,Black Out,18.0,1,0,0,60.16865043032413
bosque viejo,220,29,HEMBRA,Black Out,18.0,1,0,0,60.94284214006495
bosque viejo,220,30,HEMBRA,Black Out,18.0,1,0,0,58.60535203949078
bosque viejo,220,31,HEMBRA,Black Out,18.0,1,0,0,61.34244208085267
bosque viejo,220,32,HEMBRA,Black Out,18.0,1,0,0,67.92013191855463
bosque viejo,221,1,MACHO,Black Out,16.0,0,1,1,73.91187870497036
bosque viejo,221,3,MACHO,Black Out,16.0,0,1,1,70.23704979500916
bosque viejo,221,6,MACHO,Black Out,16.0,0,1,1,69.68972721769863
bosque viejo,221,8,MACHO,Black Out,16.0,0,1,1,73.93157363766062
bosque viejo,221,9,MACHO,Black Out,16.0,0,1,1,70.72622192283336
bosque viejo,221,10,HEMBRA,Black Out,18.0,1,0,0,65.20154695379583
bosque viejo,221,11,HEMBRA,Black Out,18.0,1,0,0,62.6652244456463
bosque viejo,221,12,HEMBRA,Black Out,18.0,1,0,0,61.84397034566514
bosque viejo,221,13,HEMBRA,Black Out,18.0,1,0,0,62.550730922823945
bosque viejo,221,14,HEMBRA,Black Out,18.0,1,0,0,63.88650444464398
bosque viejo,221,15,HEMBRA,Black Out,18.0,1,0,0,65.0539898980885
bosque viejo,221,17,HEMBRA,Black Out,18.0,1,0,0,65.43514372381915
bosque viejo,221,18,HEMBRA,Black Out,18.0,1,0,0,65.78747320447464
bosque viejo,221,20,HEMBRA,Black Out,18.0,1,0,0,64.18008504112645
bosque viejo,221,21,HEMBRA,Black Out,18.0,1,0,0,63.56067349058003
bosque viejo,221,23,HEMBRA,Black Out,18.0,1,0,0,63.7386893821575
bosque viejo,221,24,HEMBRA,Black Out,18.0,1,0,0,63.49430974764968
bosque viejo,221,26,HEMBRA,Black Out,18.0,1,0,0,65.34847298355521
bosque viejo,221,27,HEMBRA,Black Out,18.0,1,0,0,64.15345712911683
bosque viejo,221,28,HEMBRA,Black Out,18.0,1,0,0,65.27157139023082
bosque viejo,221,29,HEMBRA,Black Out,18.0,1,0,0,63.38272438060349
bosque viejo,221,30,HEMBRA,Black Out,18.0,1,0,0,62.431861837437495
bosque viejo,222,1,HEMBRA,Black Out,18.0,1,0,0,60.85741363278735
bosque viejo,222,2,HEMBRA,Black Out,18.0,1,0,0,62.638477801268486
bosque viejo,222,3,HEMBRA,Black Out,18.0,1,0,0,60.9079374286284
bosque viejo,222,4,HEMBRA,Black Out,18.0,1,0,0,61.57635465333684
bosque viejo,222,5,HEMBRA,Black Out,18.0,1,0,0,61.88402615144418
bosque viejo,222,6,HEMBRA,Black Out,18.0,1,0,0,57.65710335292085
bosque viejo,222,7,HEMBRA,Black Out,18.0,1,0,0,62.96267143278391
bosque viejo,222,8,HEMBRA,Black Out,18.0,1,0,0,60.53058847708434
bosque viejo,222,9,HEMBRA,Black Out,18.0,1,0,0,59.14081724604028
bosque viejo,222,10,HEMBRA,Black Out,18.0,1,0,0,62.61777103355252
bosque viejo,222,11,HEMBRA,Black Out,18.0,1,0,0,59.71896297337173
bosque viejo,222,12,HEMBRA,Black Out,18.0,1,0,0,59.02896469599328
bosque viejo,222,13,HEMBRA,Black Out,18.0,1,0,0,60.63253701389011
bosque viejo,222,14,HEMBRA,Black Out,18.0,1,0,0,61.05251783012752
bosque viejo,222,15,HEMBRA,Black Out,18.0,1,0,0,60.84573798415167
bosque viejo,222,16,HEMBRA,Black Out,18.0,1,0,0,64.70221802255344
bosque viejo,222,17,HEMBRA,Black Out,18.0,1,0,0,60.82755976123685
bosque viejo,222,18,HEMBRA,Black Out,18.0,1,0,0,59.570416994492525
bosque viejo,222,19,HEMBRA,Black Out,18.0,1,0,0,60.83163131709871
bosque viejo,222,20,HEMBRA,Black Out,18.0,1,0,0,59.01398761751892
bosque viejo,222,21,HEMBRA,Black Out,18.0,1,0,0,62.44933257030304
bosque viejo,222,22,HEMBRA,Black Out,18.0,1,0,0,60.62120418607642
bosque viejo,222,23,HEMBRA,Black Out,18.0,1,0,0,62.554952650860585
bosque viejo,222,24,HEMBRA,Black Out,18.0,1,0,0,61.28201563670262
bosque viejo,222,25,HEMBRA,Black Out,18.0,1,0,0,63.19482288828339
bosque viejo,222,26,HEMBRA,Black Out,18.0,1,0,0,60.46654211956522
bosque viejo,222,27,HEMBRA,Black Out,18.0,1,0,0,62.63437459452445
bosque viejo,222,28,HEMBRA,Black Out,18.0,1,0,0,62.97840405431654
bosque viejo,222,29,HEMBRA,Black Out,18.0,1,0,0,62.742600422832986
bosque viejo,222,30,HEMBRA,Black Out,18.0,1,0,0,61.83183546491532
bosque viejo,222,31,HEMBRA,Black Out,18.0,1,0,0,59.47825487628369
bosque viejo,222,32,HEMBRA,Black Out,18.0,1,0,0,61.44034585380762
bosque viejo,223,1,HEMBRA,Black Out,18.0,1,0,0,58.67840427902831
bosque viejo,223,2,HEMBRA,Black Out,18.0,1,0,0,58.35026397661922
bosque viejo,223,3,HEMBRA,Black Out,18.0,1,0,0,61.68414344475986
bosque viejo,223,6,HEMBRA,Black Out,18.0,1,0,0,59.10175591302456
bosque viejo,223,7,HEMBRA,Black Out,18.0,1,0,0,60.01970468901286
bosque viejo,223,8,HEMBRA,Black Out,18.0,1,0,0,62.12988055806484
bosque viejo,223,9,HEMBRA,Black Out,18.0,1,0,0,63.1910040562316
bosque viejo,223,10,HEMBRA,Black Out,18.0,1,0,0,64.4540704070407
bosque viejo,223,11,HEMBRA,Black Out,18.0,1,0,0,63.47791164658636
bosque viejo,223,12,HEMBRA,Black Out,18.0,1,0,0,60.977193538169146
bosque viejo,223,13,HEMBRA,Black Out,18.0,1,0,0,64.00904495876564
bosque viejo,223,16,HEMBRA,Black Out,18.0,1,0,0,61.072663168594325
bosque viejo,223,17,HEMBRA,Black Out,18.0,1,0,0,60.21612571819946
bosque viejo,223,18,HEMBRA,Black Out,18.0,1,0,0,62.73060465768799
bosque viejo,223,19,HEMBRA,Black Out,18.0,1,0,0,62.57879944910368
bosque viejo,223,20,HEMBRA,Black Out,18.0,1,0,0,60.46860818350221
bosque viejo,223,21,HEMBRA,Black Out,18.0,1,0,0,64.70698868030655
bosque viejo,223,22,HEMBRA,Black Out,18.0,1,0,0,63.09205431836671
bosque viejo,223,23,HEMBRA,Black Out,18.0,1,0,0,63.80555555555556
bosque viejo,223,24,HEMBRA,Black Out,18.0,1,0,0,63.5389874353289
bosque viejo,223,25,HEMBRA,Black Out,18.0,1,0,0,61.944909912595016
bosque viejo,223,26,HEMBRA,Black Out,18.0,1,0,0,62.63159956900774
bosque viejo,223,27,HEMBRA,Black Out,18.0,1,0,0,58.76552419354839
bosque viejo,223,28,HEMBRA,Black Out,18.0,1,0,0,62.14102903538963
bosque viejo,223,29,HEMBRA,Black Out,18.0,1,0,0,60.88437666704296
bosque viejo,223,30,HEMBRA,Black Out,18.0,1,0,0,63.03255540937841
bosque viejo,223,31,HEMBRA,Black Out,18.0,1,0,0,58.93710674914088
bosque viejo,223,32,HEMBRA,Black Out,18.0,1,0,0,59.25104702881502
bosque viejo,224,1,HEMBRA,Black Out,18.0,1,0,0,61.45902978976302
bosque viejo,224,2,HEMBRA,Black Out,18.0,1,0,0,62.56473860262337
