nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,Sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita,tipoConstruccion,densidad_pollos_m2,nombre,zonaGeografica
EL VALLE,el valle,231,44,14500,2025-10-15,2025-10-15,49.58965517241379,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,45,14500,2025-10-14,2025-10-15,44.60689655172414,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,46,14500,2025-10-14,2025-10-14,51.61379310344827,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,48,14500,2025-10-14,2025-10-14,47.71379310344828,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
ESTRELLA,estrella,232,1,14500,2025-10-17,2025-10-17,49.0,HEMBRA,10,2025,34,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,2,14500,2025-10-17,2025-10-17,49.0,HEMBRA,10,2025,34,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,3,14500,2025-10-17,2025-10-17,49.786206896551725,HEMBRA,10,2025,34,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,4,14500,2025-10-17,2025-10-18,50.92068965517242,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,5,14500,2025-10-17,2025-10-17,50.1551724137931,HEMBRA,10,2025,34,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,6,14500,2025-10-17,2025-10-18,48.97931034482759,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,7,14500,2025-10-17,2025-10-18,45.66177655172414,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,8,14500,2025-10-17,2025-10-17,50.20344827586207,HEMBRA,10,2025,34,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,9,14500,2025-10-17,2025-10-17,46.94827586206897,HEMBRA,10,2025,34,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,10,14500,2025-10-17,2025-10-17,51.824137931034485,HEMBRA,10,2025,34,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,11,14500,2025-10-18,2025-10-18,42.5,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,12,14500,2025-10-18,2025-10-18,42.5,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,13,14500,2025-10-18,2025-10-18,44.80344827586207,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,14,14500,2025-10-18,2025-10-18,42.42413793103448,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,15,14500,2025-10-18,2025-10-18,38.0,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,16,14500,2025-10-18,2025-10-18,48.34827586206897,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,17,14500,2025-10-18,2025-10-18,49.293103448275865,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
