nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita,tipoConstruccion,densidad_pollos_m2,nombre,zonaGeografica,ganancia_proyectada
DOÑA EMA,dona ema,160,13,30000,2025-10-16,2025-10-16,41.86,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,14,30000,2025-10-16,2025-10-16,45.88166666666667,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,15,30000,2025-10-16,2025-10-16,48.075,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
EL GALEÓN,el galeon,121,1,36000,2025-10-10,2025-10-10,44.59166666666667,MACHO,10,2025,41,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,2,36000,2025-10-10,2025-10-10,49.18611111111111,MACHO,10,2025,41,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,3,36000,2025-10-10,2025-10-10,37.85,MACHO,10,2025,41,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,4,36000,2025-10-10,2025-10-10,43.5,MACHO,10,2025,41,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,5,36000,2025-10-11,2025-10-11,44.46111111111111,MACHO,10,2025,40,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,6,36000,2025-10-10,2025-10-11,49.78472222222222,MACHO,10,2025,40,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,7,36000,2025-10-10,2025-10-11,44.810474444444445,MACHO,10,2025,40,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,8,36000,2025-10-11,2025-10-11,39.894444444444446,MACHO,10,2025,40,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,9,36000,2025-10-10,2025-10-10,47.59305555555556,MACHO,10,2025,41,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
