nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,Sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita
EL GALEÓN,el galeon,121,1,36000,2025-10-10,2025-10-10,44.59166666666667,MACHO,10,2025,41,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,2,36000,2025-10-10,2025-10-10,49.18611111111111,MACHO,10,2025,41,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,3,36000,2025-10-10,2025-10-10,37.85,MACHO,10,2025,41,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,4,36000,2025-10-10,2025-10-10,43.5,MACHO,10,2025,41,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,5,36000,2025-10-11,2025-10-11,44.46111111111111,MACHO,10,2025,40,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,6,36000,2025-10-10,2025-10-11,49.78472222222222,MACHO,10,2025,40,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,7,36000,2025-10-10,2025-10-11,44.810474444444445,MACHO,10,2025,40,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,8,36000,2025-10-11,2025-10-11,39.894444444444446,MACHO,10,2025,40,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,9,36000,2025-10-10,2025-10-10,47.59305555555556,MACHO,10,2025,41,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,10,36000,2025-10-10,2025-10-11,49.75,MACHO,10,2025,40,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,11,36000,2025-10-11,2025-10-11,44.452777777777776,MACHO,10,2025,40,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,12,36000,2025-10-10,2025-10-10,43.48888888888889,MACHO,10,2025,41,30,40.6,30,3.296140165732344
